tournament,surface,seconds_added_per_point,years
Wimbledon,Grass,-2.98,1991-2014
London Olympics,Grass,-2.62,2012
Manchester,Grass,-2.33,1991-1994
Eastbourne,Grass,-1.78,2009-2014
Birmingham,Carpet,-1.63,1991
Queen's Club,Grass,-1.5,1991-2014
Lyon,Hard,-1.35,2009
Las Vegas,Hard,-1.32,2006-2008
Stockholm Masters,Carpet,-0.9,1991-1994
Nottingham,Grass,-0.82,1995-2008
Orlando,Hard,-0.68,1991
Tokyo Indoor,Carpet,-0.64,1991-1995
Halle,Grass,-0.58,1993-2014
Bogota,Clay,-0.57,1994-2001
s-Hertogenbosch,Grass,-0.54,2008-2014
Beijing,Carpet,-0.54,1993-1996
Brussels,Carpet,-0.53,1991
Chicago,Carpet,-0.52,1991
Wellington,Hard,-0.44,1991-1992
Newport,Grass,-0.35,1991-2014
US Open,Hard,-0.17,1991-2014
Montpellier,Hard,-0.16,2010-2015
Bolzano,Carpet,-0.14,1992-1993
Australian Open,Hard,-0.11,1991-2015
Memphis,Hard,-0.02,1991-2015
Bogota,Hard,0.08,2013-2014
Rosmalen,Grass,0.17,1991-1997
London,Carpet,0.27,1998-1999
San Jose,Hard,0.28,1994-2013
Antwerp,Carpet,0.29,1992-1996
Stuttgart Masters,Carpet,0.3,1996-1997
Sydney Indoor,Hard,0.3,1991-1994
Paris Masters,Carpet,0.32,1991-2006
Auckland,Hard,0.38,1991-2015
Johannesburg,Hard,0.38,1992-2011
Gstaad,Clay,0.44,1991-2014
Durban,Hard,0.45,1993
Sydney,Hard,0.46,1999-2015
Copenhagen,Carpet,0.5,1991-1999
Basel,Carpet,0.51,1997-2006
Sydney Outdoor,Hard,0.52,1991-1998
Seoul,Hard,0.53,1991-1996
Milan,Carpet,0.55,1991-2005
Stuttgart Indoor,Carpet,0.57,1991-1995
Delray Beach,Hard,0.59,2000-2015
Philadelphia,Carpet,0.59,1991-1996
Metz,Hard,0.63,2003-2014
Tour Finals,Carpet,0.63,1991-1996
Moscow,Carpet,0.64,1991-2006
Kuala Lumpur,Carpet,0.66,1994-1995
New Haven,Hard,0.71,1991-2010
Basel,Hard,0.73,1991-2014
Scottsdale,Hard,0.79,1992-2005
Roland Garros,Clay,0.79,1991-2014
St. Petersburg,Carpet,0.8,1995-2007
Berlin,Carpet,0.8,1991
Tokyo Outdoor,Hard,0.81,1991-1995
Paris Masters,Hard,0.82,2007-2014
Adelaide,Hard,0.85,1991-2008
Lyon,Carpet,0.86,1991-2008
Stockholm,Hard,0.86,1995-2014
St Petersburg,Carpet,0.87,1999
Zaragoza,Carpet,0.91,1993-1994
Zagreb,Carpet,0.92,1996-2007
Winston-Salem,Hard,0.93,2011-2014
Ostrava,Carpet,0.93,1994-1998
Marseille,Hard,0.97,1996-2015
Brighton,Hard,1.0,2000
Bangkok,Hard,1.01,2003-2013
Zagreb,Hard,1.02,2008-2015
Moscow,Hard,1.1,2007-2014
Cincinnati Masters,Hard,1.14,1991-2014
San Francisco,Carpet,1.15,1991
Mexico City,Clay,1.15,1993-2000
London,Hard,1.16,2000
Stuttgart Masters,Hard,1.17,1998-2001
New Delhi,Hard,1.21,1996
Shanghai Masters,Hard,1.21,2009-2014
Tokyo,Hard,1.21,1996-2014
Osaka,Hard,1.23,1993-1994
Long Island,Hard,1.23,1991-2004
Essen Masters,Carpet,1.25,1995
Rotterdam,Hard,1.25,2000-2015
Buzios,Hard,1.26,1991-1992
Washington,Hard,1.3,1991-2014
Shanghai,Carpet,1.3,1996-1998
Singapore,Carpet,1.33,1996-1998
Los Angeles,Hard,1.38,1991-2012
Sao Paulo,Hard,1.4,1991-1992
Copenhagen,Hard,1.43,2000-2003
Split,Carpet,1.46,1998
Marseille,Carpet,1.46,1993-1995
San Francisco,Hard,1.46,1992-1993
Indianapolis,Hard,1.47,1991-2009
Rotterdam,Carpet,1.47,1991-1999
Vienna,Carpet,1.53,1991-1998
Canada Masters,Hard,1.54,1991-2014
St. Petersburg,Hard,1.56,2000-2013
Tashkent,Hard,1.58,1997-2002
Dubai,Hard,1.58,1993-2015
Bordeaux,Hard,1.62,1991-1995
Brisbane,Hard,1.63,1991-2015
Valencia,Hard,1.63,2009-2014
Stuttgart,Clay,1.65,2001-2014
Brasilia,Carpet,1.66,1991
Madrid Masters,Hard,1.69,2002-2008
Philadelphia,Hard,1.7,1997-1998
Beijing,Hard,1.71,1997-2014
Indian Wells Masters,Hard,1.72,1991-2015
Toulouse,Hard,1.74,1991-2000
Santiago,Clay,1.82,1993-2013
Hong Kong,Hard,1.83,1991-2002
Schenectady,Hard,1.84,1991-1994
Vienna,Hard,1.84,1999-2014
Miami Masters,Hard,1.9,1991-2015
Power Horse Cup,Clay,1.93,2013
Boston,Hard,1.98,1997-1999
Kuala Lumpur,Hard,2.03,2009-2014
Tel Aviv,Hard,2.07,1991-1996
Sun City,Hard,2.09,1994
Chennai,Hard,2.09,1997-2015
